ID,Video_File,x,y,timestamp,Experience,action type,timing,sound type
1764449971347,output_with_sound_B_1_3.mp4,1263,452,20.076,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1276,447,20.109,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1281,444,20.142,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1289,439,20.176,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1295,439,20.209,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1300,439,20.248,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1305,439,20.279,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1313,439,20.309,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1321,439,20.343,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1329,439,20.409,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1345,444,20.443,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1356,447,20.476,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1364,452,20.509,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1369,458,20.543,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1380,463,20.582,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1383,468,20.621,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1385,474,20.643,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1385,479,20.874,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1375,484,20.893,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1367,490,20.926,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1356,490,20.959,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1351,492,20.993,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1348,495,21.026,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1337,495,21.059,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1332,498,21.126,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1316,498,21.159,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1311,498,21.228,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1300,498,21.259,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1295,498,21.393,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1007,522,22.576,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,991,524,22.609,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,975,524,22.642,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,948,519,22.676,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,940,516,22.709,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,935,516,22.746,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,932,514,22.776,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,927,514,22.818,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,927,508,22.95,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,929,498,22.976,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,943,484,23.009,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,951,482,23.042,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,953,479,23.076,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,969,474,23.109,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,985,471,23.142,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,991,471,23.177,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1001,471,23.209,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1015,476,23.242,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1025,484,23.276,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1033,490,23.309,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1033,495,23.356,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1036,498,23.378,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1036,503,23.409,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1036,508,23.443,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1036,514,23.478,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1036,519,23.575,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1028,522,23.609,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1023,524,23.643,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1015,524,23.676,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1007,527,23.709,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1001,527,23.776,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1327,458,4.284,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1335,455,4.316,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1367,452,4.35,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1404,450,4.383,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1417,450,4.416,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1420,452,4.483,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1425,471,4.516,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1425,482,4.55,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1412,492,4.583,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1399,495,4.616,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1385,495,4.65,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1380,495,4.684,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1367,484,4.716,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1356,474,4.75,Experienced,slide,correct,instrumental sound
